iter	MultiClass
0	1.70048316
1	1.629099703
2	1.572732211
3	1.526602925
4	1.488903657
5	1.446224145
6	1.412392897
7	1.383249656
8	1.35985946
9	1.339305157
10	1.320361923
11	1.305045934
12	1.290529406
13	1.277227563
14	1.2674969
15	1.258567487
16	1.248738909
17	1.24041935
18	1.233704061
19	1.227362298
20	1.221233861
21	1.216292798
22	1.211528075
23	1.206686814
24	1.203449722
25	1.200909112
26	1.197969273
27	1.194626325
28	1.192105332
29	1.189386981
30	1.187234069
31	1.184991902
32	1.183286408
33	1.181552316
34	1.179960889
35	1.178157348
36	1.177118926
37	1.176143547
38	1.175183016
39	1.173763973
40	1.172420391
41	1.172087592
42	1.170683033
43	1.169828466
44	1.169251229
45	1.16820429
46	1.167539514
47	1.167012092
48	1.166527206
49	1.166044138
50	1.16525064
51	1.163945884
52	1.162888784
53	1.161514546
54	1.160914085
55	1.1602615
56	1.160210164
57	1.15983655
58	1.159340789
59	1.158876847
60	1.158289262
61	1.157713277
62	1.157465552
63	1.157177728
64	1.156766004
65	1.156193354
66	1.155382983
67	1.154278221
68	1.153907632
69	1.153705207
70	1.153018881
71	1.152846334
72	1.152462979
73	1.151775294
74	1.150657323
75	1.15036526
76	1.150232552
77	1.149807453
78	1.149282108
79	1.148787263
80	1.14838198
81	1.148040648
82	1.14782988
83	1.147297867
84	1.146902883
85	1.146675367
86	1.146519447
87	1.14621191
88	1.145927043
89	1.145811423
90	1.145687126
91	1.145303408
92	1.144977367
93	1.144454571
94	1.144118247
95	1.143934282
96	1.143573506
97	1.143068261
98	1.142495535
99	1.141967167
100	1.141836994
101	1.141407479
102	1.140959967
103	1.140431427
104	1.139954259
105	1.139274618
106	1.139018036
107	1.138624684
108	1.137865668
109	1.137628836
110	1.137433911
111	1.136984329
112	1.136402805
113	1.136121494
114	1.135864796
115	1.135522292
116	1.135138597
117	1.134385302
118	1.134124941
119	1.133908629
120	1.133468792
121	1.133136404
122	1.132934582
123	1.132652013
124	1.1321247
125	1.131796126
126	1.131584786
127	1.131257686
128	1.130560872
129	1.130133285
130	1.129519205
131	1.128965792
132	1.128764972
133	1.128556916
134	1.12831866
135	1.128007347
136	1.127645288
137	1.12745058
138	1.127186249
139	1.126571068
140	1.126307041
141	1.126051806
142	1.125824652
143	1.125750817
144	1.124954085
145	1.124748976
146	1.124540355
147	1.124242772
148	1.124102055
149	1.123797326
150	1.123255222
151	1.123015507
152	1.12259688
153	1.122325901
154	1.121851437
155	1.121293861
156	1.120781472
157	1.120518109
158	1.119903715
159	1.119577764
160	1.119347172
161	1.119204765
162	1.118914358
163	1.118388784
164	1.118234517
165	1.11785306
166	1.117703947
167	1.117394038
168	1.117226872
169	1.11699266
170	1.116477481
171	1.115945235
172	1.115440774
173	1.115079567
174	1.114636006
175	1.114253374
176	1.114013399
177	1.113631649
178	1.113258162
179	1.112801811
180	1.112658263
181	1.112430961
182	1.112248392
183	1.111641768
184	1.111514413
185	1.111166537
186	1.110862377
187	1.110206868
188	1.10954165
189	1.108917254
190	1.10835192
191	1.108181721
192	1.107621485
193	1.107467988
194	1.107283145
195	1.106912117
196	1.106654257
197	1.106444684
198	1.10593533
199	1.105489207
200	1.104937971
201	1.104641274
202	1.104322139
203	1.103954514
204	1.103585369
205	1.103487593
206	1.10321287
207	1.103039336
208	1.102707441
209	1.102204572
210	1.101811092
211	1.101447949
212	1.101223712
213	1.100820551
214	1.100361166
215	1.099877831
216	1.099526497
217	1.099286292
218	1.099112462
219	1.098840541
220	1.098421631
221	1.09825704
222	1.097916315
223	1.097424291
224	1.097237847
225	1.096933791
226	1.096661775
227	1.096575981
228	1.096383764
229	1.096146307
230	1.095361048
231	1.095082727
232	1.094910091
233	1.094555677
234	1.094204192
235	1.094001485
236	1.093526651
237	1.092984864
238	1.092754692
239	1.092326232
240	1.092154099
241	1.091890671
242	1.091710332
243	1.091442518
244	1.091262785
245	1.091099022
246	1.09081561
247	1.090654776
248	1.090295043
249	1.089805278
250	1.089370635
251	1.089128209
252	1.088476513
253	1.088172772
254	1.088015587
255	1.087679398
256	1.087423205
257	1.087316008
258	1.086915978
259	1.086816105
260	1.08645336
261	1.086228915
262	1.086010685
263	1.085852767
264	1.085389577
265	1.08525549
266	1.085027061
267	1.084785502
268	1.084449071
269	1.084134995
270	1.083855912
271	1.083589223
272	1.083181292
273	1.082989236
274	1.082727801
275	1.082508027
276	1.082234004
277	1.082173142
278	1.081836373
279	1.081453482
280	1.081146302
281	1.080686344
282	1.080534366
283	1.080437583
284	1.080123962
285	1.079991555
286	1.079705878
287	1.079583358
288	1.079265874
289	1.078748162
290	1.078337395
291	1.078135845
292	1.077871054
293	1.077528787
294	1.077337234
295	1.077187154
296	1.076894264
297	1.076428817
298	1.076305323
299	1.076166257
