iter	Passed	Remaining
0	884	883464
1	1992	994238
2	3051	1014279
3	4380	1090646
4	5824	1159088
5	7206	1193807
6	8533	1210484
7	9772	1211843
8	10572	1164143
9	12068	1194828
10	13211	1187804
11	14317	1178841
12	15609	1185086
13	16884	1189173
14	17954	1179016
15	18777	1154825
16	19555	1130766
17	20481	1117355
18	21367	1103242
19	22191	1087369
20	22956	1070228
21	23862	1060806
22	24574	1043882
23	25212	1025288
24	25777	1005332
25	26321	986059
26	26794	965577
27	27535	955873
28	28264	946384
29	29531	954861
30	30313	947537
31	31504	953019
32	32268	945578
33	33150	941860
34	33998	937397
35	34508	924070
36	34866	907464
37	35228	891829
38	35559	876216
39	35896	861508
40	36246	847824
41	36552	833747
42	36881	820836
43	37221	808729
44	37537	796627
45	37888	785780
46	38197	774512
47	38505	763691
48	38847	753962
49	39173	744304
50	39494	734908
51	39844	726396
52	40167	717703
53	40502	709535
54	40817	701310
55	41141	693535
56	41308	683396
57	41596	675591
58	41944	668979
59	42226	661556
60	42507	654333
61	42788	647345
62	43101	641042
63	43381	634449
64	43678	628300
65	43976	622330
66	44287	616722
67	44634	611752
68	44951	606523
69	45210	600651
70	45465	594892
71	45734	589473
72	46016	584349
73	46321	579642
74	46610	574864
75	46929	570564
76	47200	565793
77	47535	561897
78	47809	557368
79	48128	553478
80	48443	549625
81	48744	545699
82	49014	541519
83	49341	538057
84	49699	534998
85	50010	531510
86	50313	528005
87	50649	524917
88	50954	521569
89	51246	518163
90	51538	514816
91	51826	511508
92	52123	508347
93	52438	505420
94	52770	502706
95	53066	499711
96	53394	497059
97	53698	494249
98	54020	491637
99	54321	488892
100	54577	485796
101	54861	482992
102	55203	480750
103	55503	478186
104	55793	475576
105	56127	473374
106	56424	470905
107	56710	468384
108	57009	466009
109	57218	462951
110	57493	460466
111	57771	458044
112	58049	455661
113	58392	453820
114	58747	452098
115	59037	449906
116	59315	447658
117	59632	445725
118	59906	443512
119	60177	441300
120	60467	439265
121	60737	437107
122	61021	435091
123	61290	432987
124	61715	432007
125	62528	433729
126	63473	436316
127	64666	440541
128	66040	445900
129	67444	451356
130	68634	455293
131	69940	459911
132	70986	462748
133	72306	467291
134	73492	470896
135	74667	474357
136	75671	476673
137	76348	476903
138	77139	477821
139	77829	478097
140	78571	478671
141	79506	480396
142	80333	481439
143	81072	481930
144	82027	483680
145	83000	485493
146	84016	487527
147	84882	488649
148	85986	491103
149	86910	492492
150	87865	494023
151	88635	494495
152	89232	493985
153	89877	493742
154	90651	494195
155	91323	494081
156	91994	493960
157	92634	493658
158	93605	495107
159	94388	495537
160	95128	495732
161	96049	496847
162	97284	499555
163	98246	500819
164	99021	501106
165	99911	501962
166	100859	503090
167	101917	504732
168	102667	504831
169	103359	504637
170	104054	504449
171	104646	503762
172	105223	503006
173	105746	501992
174	106262	500953
175	106872	500359
176	107417	499460
177	108104	499223
178	108759	498834
179	109319	498012
180	109770	496695
181	110307	495776
182	110916	495186
183	111497	494466
184	112010	493452
185	112562	492611
186	113124	491817
187	113607	490689
188	114188	489983
189	114776	489309
190	115390	488746
191	116009	488206
192	117004	489235
193	117822	489510
194	118785	490369
195	119500	490195
196	120336	490507
197	121044	490293
198	121931	490788
199	122633	490532
200	123280	490054
201	124024	489957
202	124717	489655
203	125464	489558
204	126450	490382
205	127487	491382
206	128274	491410
207	128821	490513
208	129382	489672
209	130056	489258
210	130567	488234
211	131127	487398
212	131667	486490
213	132214	485609
214	132892	485213
215	133423	484278
216	134196	484222
217	135037	484401
218	135848	484462
219	136677	484584
220	137508	484702
221	138290	484637
222	139087	484624
223	140096	485334
224	140891	485293
225	141657	485146
226	142626	485684
227	143590	486194
228	144729	487275
229	145486	487065
230	145875	485620
231	146177	483896
232	146554	482434
233	146890	480847
234	147192	479157
235	147527	477589
236	147982	476417
237	148411	475166
238	148792	473769
239	149145	472295
240	149461	470710
241	149861	469401
242	150531	468939
243	151288	468746
244	152304	469346
245	153216	469615
246	154201	470097
247	155008	470025
248	155892	470182
249	156750	470251
250	157507	470011
251	158321	469938
252	159280	470285
253	159953	469784
254	160511	468946
255	161146	468331
256	161775	467701
257	162611	467666
258	163376	467421
259	164061	466945
260	164886	466862
261	165620	466519
262	166282	465969
263	166934	465392
264	167572	464777
265	168419	464736
266	169211	464540
267	170524	465761
268	172475	468698
269	174440	471636
270	175885	473138
271	177002	473741
272	178268	474728
273	179700	476139
274	181172	477636
275	182197	477939
276	182856	477274
277	183470	476495
278	184092	475738
279	184974	475648
280	185722	475210
281	186380	474542
282	186957	473669
283	187561	472867
284	188176	472091
285	188720	471141
286	189364	470442
287	189803	469236
288	190288	468149
289	190824	467190
290	191620	466868
291	192239	466114
292	193057	465842
293	193801	465386
294	194347	464457
295	195011	463811
296	195649	463103
297	196297	462418
298	196882	461588
299	197571	461001
300	198083	460001
301	198604	459026
302	199106	458010
303	199756	457337
304	200162	456107
305	200647	455062
306	201266	454324
307	201877	453568
308	202978	453910
309	203644	453274
310	204292	452597
311	204789	451587
312	205401	450832
313	205950	449942
314	206396	448831
315	206845	447728
316	207248	446532
317	207670	445381
318	208040	444123
319	208495	443052
320	208904	441888
321	209311	440724
322	209696	439519
323	210110	438377
324	210534	437264
325	210965	436167
326	211830	435969
327	212294	434944
328	213019	434456
329	213591	433654
330	213966	432458
331	214196	430973
332	214468	429581
333	214728	428170
334	215011	426814
335	215281	425437
336	215586	424135
337	215851	422762
338	216118	421399
339	216372	420017
340	216640	418669
341	216877	417266
342	217120	415883
343	217367	414514
344	217605	413134
345	217845	411766
346	218085	410403
347	218363	409117
348	218639	407834
349	218891	406512
350	219224	405345
351	219544	404161
352	219811	402883
353	220129	401704
354	220435	400509
355	220722	399283
356	221228	398458
357	221674	397527
358	222086	396539
359	222506	395567
360	222918	394583
361	223580	394045
362	224092	393242
363	224517	392289
364	225166	391728
365	226319	392039
366	227292	392032
367	228043	391640
368	228959	391526
369	230243	392037
370	231675	392787
371	232933	393232
372	233991	393331
373	235061	393445
374	236558	394264
375	237781	394616
376	239208	395297
377	240526	395787
378	242102	396689
379	242891	396296
380	243771	396047
381	244584	395688
382	245335	395227
383	246290	395091
384	247307	395049
385	248355	395052
386	249222	394762
387	250114	394510
388	251094	394393
389	251922	394032
390	252815	393772
391	253497	393180
392	254367	392878
393	255170	392469
394	255862	391891
395	256422	391108
396	257029	390399
397	257783	389914
398	258333	389118
399	259045	388567
400	259593	387772
401	260226	387102
402	260775	386309
403	261319	385511
404	261883	384742
405	262520	384081
406	263965	384598
407	265099	384653
408	266491	385076
409	267457	384877
410	269014	385521
411	270042	385400
412	271088	385299
413	271971	384963
414	272561	384212
415	273132	383435
416	273638	382568
417	274249	381850
418	274588	380753
419	274909	379636
420	275236	378532
421	275557	377422
422	275891	376333
423	276226	375250
424	276544	374148
425	276867	373056
426	277183	371957
427	277464	370817
428	277780	369726
429	278105	368652
430	278456	367614
431	278757	366514
432	279130	365512
433	279430	364418
434	279708	363299
435	279997	362198
436	280354	361188
437	280674	360134
438	280946	359022
439	281264	357973
440	281544	356878
441	281859	355831
442	282186	354803
443	282455	353705
444	282746	352638
445	283039	351577
446	283309	350493
447	283602	349438
448	283875	348364
449	284182	347334
450	284466	346280
451	284736	345210
452	285054	344204
453	285370	343198
454	285642	342142
455	285949	341132
456	286265	340135
457	286557	339113
458	286860	338107
459	287143	337082
460	287476	336116
461	287873	335229
462	288305	334384
463	288676	333470
464	289074	332591
465	289484	331726
466	289925	330900
467	290442	330160
468	290853	329302
469	291242	328422
470	291600	327508
471	292050	326700
472	292599	326003
473	292994	325137
